anime_id,related_anime_id,relation_type
11569,5753,Other
21969,1960,Parent story
15219,11375,Parent story
16964,10507,Other
13807,15037,Sequel
9999,21,Parent story
9999,20871,Other
13253,23365,Other
13253,25549,Other
10705,10706,Sequel
10705,18817,Side story
13431,18241,Sequel
13431,30753,Prequel
1122,1564,Parent story
16726,16912,Prequel
16726,24071,Side story
16726,36797,Sequel
26023,15699,Prequel
3464,32503,Other
8132,8287,Alternative version
17949,10793,Other
33183,31884,Full story
33183,33669,Other
16377,16373,Prequel
16377,19849,Sequel
16377,32146,Other
16377,32147,Other
4050,2173,Side story
4050,17469,Spin-off
798,1843,Prequel
798,24527,Alternative version
11793,10232,Prequel
11793,15731,Sequel
5587,5159,Prequel
16035,16033,Other
16035,23425,Other
2947,351,Parent story
26085,30600,Sequel
10420,4816,Prequel
37115,22821,Parent story
37115,36261,Alternative version
15611,13145,Prequel
15611,21729,Sequel
15611,23991,Other
780,235,Parent story
25567,23333,Parent story
12445,14189,Sequel
35473,34376,Other
35473,35472,Prequel
35370,33811,Prequel
35370,36054,Side story
28913,3604,Full story
10905,9938,Other
23831,11597,Character
23831,11981,Other
2717,1490,Prequel
2717,3854,Prequel
1686,269,Parent story
33743,390,Prequel
6759,6760,Sequel
7446,7445,Prequel
7446,7488,Sequel
34323,23787,Parent story
30556,30342,Other
36519,18655,Alternative version
33248,14467,Parent story
33248,37303,Sequel
33248,37308,Spin-off
3016,820,Sequel
3016,3014,Prequel
6336,87,Prequel
6336,14007,Prequel
6336,88,Sequel
6336,35224,Sequel
6336,36436,Sequel
6336,37764,Sequel
6336,23943,Other
6336,24371,Summary
6336,32792,Alternative version
33820,33814,Other
16480,4459,Parent story
19383,22537,Sequel
139,138,Prequel
139,11061,Alternative version
16009,20423,Side story
12471,237,Prequel
12471,35136,Prequel
12471,14875,Side story
12471,15979,Other
12471,34776,Sequel
956,1845,Alternative version
956,10954,Other
956,19799,Other
8492,8494,Alternative version
1366,235,Parent story
7655,5028,Prequel
7655,11917,Sequel
877,1869,Summary
6246,1520,Parent story
32083,32084,Other
32083,34834,Other
36920,32338,Other
36920,34252,Other
36920,34412,Other
36920,33573,Parent story
1999,608,Prequel
13427,18841,Spin-off
370,693,Alternative version
370,769,Prequel
1429,1412,Parent story
31585,31584,Prequel
32625,31980,Other
32625,32634,Other
3028,69,Parent story
8966,508,Parent story
8966,8965,Prequel
399,396,Full story
1774,958,Parent story
1161,1162,Alternative version
1161,3884,Side story
1161,8442,Sequel
9167,6979,Parent story
10923,7768,Parent story
28237,2719,Prequel
2559,23581,Summary
2722,424,Character
2722,2696,Sequel
33255,19469,Other
33255,34612,Sequel
21395,966,Parent story
21395,17113,Prequel
21395,27653,Sequel
32275,29715,Parent story
683,682,Parent story
28927,26243,Prequel
28927,31918,Other
17249,10257,Alternative setting
17249,12863,Alternative setting
17249,21707,Alternative version
17249,22215,Summary
17249,31762,Spin-off
17249,36925,Other
6954,5205,Prequel
6954,14807,Sequel
1761,1760,Prequel
1761,4039,Sequel
5909,10464,Sequel
34612,33255,Prequel
1565,1564,Prequel
1565,2847,Side story
1565,4026,Side story
1565,6178,Side story
1565,6555,Side story
1565,7550,Side story
1565,7695,Side story
1565,8709,Side story
1565,10302,Side story
1565,11069,Side story
1565,5256,Spin-off
1565,6275,Spin-off
1565,8438,Alternative setting
1565,34514,Alternative setting
1565,9107,Sequel
1565,36825,Other
8407,7858,Prequel
8407,9790,Sequel
22469,7330,Other
22469,22467,Other
36825,527,Full story
36825,1564,Full story
36825,1565,Other
2164,13955,Summary
9849,7730,Parent story
16570,17088,Parent story
3091,861,Prequel
3091,4918,Sequel
11763,21009,Side story
7861,338,Full story
35611,30342,Alternative version
18937,9768,Prequel
18937,18939,Sequel
801,467,Prequel
801,1566,Sequel
801,2448,Summary
801,3485,Spin-off
6112,4262,Prequel
6112,7774,Spin-off
6112,8057,Sequel
6112,8635,Other
33286,18277,Prequel
33286,37449,Sequel
20175,5267,Prequel
29829,25729,Prequel
29829,29830,Sequel
21671,516,Alternative version
2651,2634,Alternative version
2651,2664,Other
25963,12145,Alternative version
25963,26017,Character
36447,31493,Prequel
36447,37601,Other
3519,12497,Other
5678,10098,Side story
4061,4060,Prequel
32247,2154,Alternative version
34392,34393,Other
34392,34733,Side story
34392,36431,Sequel
13261,10507,Prequel
13261,18097,Sequel
25265,25267,Sequel
25265,34710,Other
6582,5005,Prequel
6582,8196,Character
510,661,Alternative setting
510,2609,Alternative setting
510,2610,Alternative setting
510,2139,Sequel
6149,951,Prequel
6149,30803,Other
6149,31202,Side story
16894,11771,Prequel
16894,22125,Side story
16894,22673,Other
16894,29583,Other
16894,24415,Sequel
16894,32870,Summary
2488,523,Spin-off
219,218,Prequel
34939,391,Character
34939,445,Character
34939,1731,Character
34939,4884,Character
34939,30911,Character
34939,36955,Other
34939,37230,Sequel
33310,11533,Prequel
33687,1678,Alternative version
33687,4690,Alternative version
33687,8394,Alternative version
33687,33686,Prequel
4879,6736,Side story
13937,2276,Prequel
35417,33834,Other
35417,35418,Sequel
35330,37596,Sequel
35330,37622,Other
2673,2672,Alternative version
2673,8687,Parent story
10278,1694,Alternative setting
10278,23587,Alternative setting
10278,29801,Alternative setting
10278,31894,Alternative setting
10278,34915,Alternative setting
10278,35081,Alternative setting
10278,36186,Alternative setting
10278,4033,Alternative version
10278,11889,Sequel
10278,15649,Spin-off
10278,21073,Spin-off
27843,29209,Alternative version
37031,35062,Full story
35589,37672,Summary
37831,36475,Full story
282,1473,Spin-off
3738,3737,Prequel
3738,5397,Sequel
19569,32195,Side story
8355,4737,Prequel
8355,8356,Sequel
6472,8539,Character
6472,9345,Alternative version
12059,17539,Other
31617,27411,Other
14543,3479,Alternative setting
14543,6590,Alternative setting
14543,20757,Alternative setting
31797,25099,Parent story
7782,6205,Parent story
8917,14817,Sequel
32189,16592,Prequel
32189,33028,Prequel
32189,34152,Prequel
32189,34103,Sequel
32189,37103,Other
29823,1698,Other
29823,29861,Prequel
29823,29862,Sequel
30646,11595,Parent story
13823,13821,Parent story
13823,35317,Other
28669,603,Alternative setting
28669,1534,Alternative setting
28669,1929,Alternative setting
28669,1932,Alternative setting
28669,3692,Alternative setting
28669,5684,Alternative setting
28669,7645,Alternative setting
28669,9893,Alternative setting
28669,12191,Alternative setting
28669,16419,Alternative setting
28669,21407,Alternative setting
28669,31884,Alternative setting
28669,34290,Alternative setting
28669,36593,Alternative setting
28669,29868,Side story
28669,34302,Spin-off
28669,34303,Spin-off
33152,235,Other
35118,269,Parent story
1147,541,Prequel
1147,31861,Sequel
20031,23383,Side story
295,294,Prequel
2334,2333,Prequel
19169,23857,Sequel
10909,6731,Other
10909,30122,Alternative setting
23725,6381,Prequel
23725,9751,Sequel
12879,8915,Parent story
37385,13311,Other
28891,20583,Prequel
28891,32935,Sequel
28891,35110,Summary
28891,35321,Summary
28891,35806,Side story
37277,36516,Full story
35002,32956,Parent story
35002,35003,Other
35677,31988,Parent story
10302,1565,Parent story
836,835,Sequel
20241,20239,Alternative version
3457,4752,Sequel
3457,8422,Side story
8862,2885,Character
10532,10521,Other
10532,33094,Other
2913,25081,Summary
3227,1904,Prequel
3227,4190,Side story
3227,7254,Sequel
11069,1565,Parent story
9857,2705,Parent story
12979,1735,Spin-off
18677,20545,Sequel
18677,28593,Other
5233,4028,Prequel
1769,1743,Prequel
1769,18815,Side story
24921,24919,Prequel
1012,582,Full story
1255,1254,Parent story
5023,30965,Summary
50,49,Alternative version
50,303,Spin-off
50,880,Sequel
50,1003,Side story
23479,22429,Parent story
7744,5973,Parent story
32557,30089,Parent story
1416,1412,Parent story
9981,12753,Sequel
523,2488,Spin-off
30851,5355,Character
30851,8123,Character
30851,28401,Prequel
611,5492,Side story
611,34476,Side story
37140,2165,Other
37140,3710,Other
37140,5688,Other
37140,6971,Other
37140,7307,Other
37140,7619,Other
37140,37668,Other
125,126,Alternative version
31426,27927,Prequel
31426,35335,Sequel
35424,35086,Prequel
35424,35425,Sequel
14685,195,Full story
2896,5210,Other
2896,5213,Other
4196,1956,Prequel
4196,5333,Side story
4196,7580,Sequel
11855,13559,Sequel
9810,35160,Side story
9810,36274,Side story
34198,31044,Other
34198,34310,Other
22131,18137,Prequel
1913,245,Sequel
1142,16,Prequel
1142,644,Prequel
16738,15313,Prequel
16738,20267,Sequel
15963,10464,Parent story
792,210,Parent story
792,1010,Sequel
3689,3690,Sequel
23755,30347,Side story
23755,31722,Sequel
23755,35946,Other
23755,36923,Summary
24,517,Side story
24,846,Sequel
813,223,Prequel
813,225,Sequel
813,894,Side story
813,895,Side story
813,896,Side story
813,897,Side story
813,898,Side story
813,899,Side story
813,900,Side story
813,901,Side story
813,902,Side story
813,903,Side story
813,904,Side story
813,905,Side story
813,906,Side story
813,984,Side story
813,985,Side story
813,986,Side story
813,5152,Side story
813,6714,Side story
813,10017,Side story
813,12231,Side story
813,14837,Side story
813,22699,Side story
813,25389,Side story
813,30694,Side story
813,33947,Side story
813,6033,Alternative version
813,22777,Alternative version
813,23933,Character
813,23935,Character
3031,1132,Parent story
4385,3579,Spin-off
4385,5658,Spin-off
6802,8197,Side story
