anime_id,title,title_english,title_japanese,title_synonyms,image_url,type,source,episodes,status,duration,rating,score,scored_by,rank,popularity,members,favorites,premiered,licensor,studio,aired_from,aired_to
21513,Imako System,,イマコシステム,,https://cdn.myanimelist.net/images/anime/3/63425.jpg,OVA,Manga,2,Finished Airing,23 min. per ep.,Rx - Hentai,6.2,1114,,6019,2923,12,Winter 2014,,,2014-02-28,2014-05-30
34504,Seitokai Yakuindomo Movie,,劇場版 生徒会役員共,Gekijouban Seitokai Yakuindomo,https://cdn.myanimelist.net/images/anime/12/87184.jpg,Movie,4-koma manga,1,Finished Airing,1 hr.,R - 17+ (violence & profanity),7.95,4405,621.0,2768,18465,32,Summer 2017,,GoHands,2017-07-21,2017-07-21
1155,Melty Lancer,,メルティランサー,Melty Lancer: The Animation,https://cdn.myanimelist.net/images/anime/5/20564.jpg,OVA,Game,6,Finished Airing,30 min. per ep.,PG-13 - Teens 13 or older,6.05,390,7238.0,7794,1265,2,Spring 1999,Bandai Entertainment,Gonzo,1999-05-25,2000-05-25
8678,Sangokushi II: Amakakeru Otoko-tachi,,三国志II 天翔ける英雄たち,"Romance of the Three Kingdoms 2, Sangokushi II: Tenkakeru Hideotachi",https://cdn.myanimelist.net/images/anime/8/72949.jpg,Special,,1,Finished Airing,1 hr. 30 min.,PG-13 - Teens 13 or older,6.78,60,4422.0,10651,269,1,Summer 1986,,Shin-Ei Animation,1986-08-22,1986-08-22
206,Lodoss-tou Senki: Eiyuu Kishi Den,Record of Lodoss War: Chronicles of the Heroic Knight,ロードス島戦記　英雄騎士伝,Record of Lodoss War TV,https://cdn.myanimelist.net/images/anime/1065/92495.jpg,TV,Novel,27,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,7.22,7568,2728.0,2727,19218,94,Spring 1998,"Funimation, Central Park Media",AIC,1998-04-01,1998-09-30
3912,Rejuvenation,Sacrilege,回春,Kaishun,https://cdn.myanimelist.net/images/anime/1746/92430.jpg,OVA,,2,Finished Airing,30 min. per ep.,Rx - Hentai,5.43,305,,8426,926,1,Winter 2000,,,2000-01-28,2000-02-25
10742,Saru to Kani no Gassen,,サルとカニの合戦,The Battle of the Monkey and the Crab,https://cdn.myanimelist.net/images/anime/4/83742.jpg,Movie,Other,1,Finished Airing,6 min.,G - All Ages,4.98,114,9065.0,10387,315,1,Spring 1917,,,1917-05-20,1917-05-20
13377,Recorder to Randoseru Re♪,Recorder and Randsell Re,リコーダーとランドセル レ♪,"Recorder and Backpack Re, Recorder and Satchel Re, Recorder and Randsell Re, Recorder and Ransel Re, Recorder to Randsell Re, Recorder to Ransel Re",https://cdn.myanimelist.net/images/anime/11/38901.jpg,TV,,13,Finished Airing,3 min. per ep.,PG-13 - Teens 13 or older,6.96,12246,3716.0,2652,20352,6,Spring 2012,,Seven,2012-04-04,2012-06-27
35815,Boku dake ga Inai Machi Recap,ERASED 1-6 Digest,僕だけがいない街,Boku dake ga Inai Machi Episode 6.5,https://cdn.myanimelist.net/images/anime/2/86477.jpg,ONA,Manga,1,Finished Airing,17 min.,R - 17+ (violence & profanity),7.15,2215,2992.0,3916,8564,22,Winter 2016,,A-1 Pictures,2016-02-16,2016-02-16
1262,Macross II: Lovers Again,,超時空要塞マクロスII -Lovers Again-,"Choujikuu Yousai Macross II - Lovers Again, Macross II The Movie, Super Dimension Fortress Macross II: Lovers, Again",https://cdn.myanimelist.net/images/anime/9/61069.jpg,OVA,Original,6,Finished Airing,24 min. per ep.,PG-13 - Teens 13 or older,6.44,4099,5846.0,4047,7933,16,Spring 1992,Manga Entertainment,AIC,1992-05-21,1992-11-21
